numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,
07005,20201101000000,101560,0,0,170,2.100000,283.950000,281.350000,84,17360,0,mq,mq,mq,mq,mq,mq,mq,mq,100690,mq,mq,-730,mq,mq,mq,mq,282.050000,mq,mq,3.700000,3.700000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,1.400000,1.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07015,20201101000000,101590,60,3,210,3.900000,284.550000,281.450000,81,30920,0,mq,mq,90,7,3780,mq,mq,mq,101020,mq,mq,-730,mq,mq,mq,mq,281.050000,mq,mq,6.100000,7.900000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.200000,1.000000,1.000000,mq,mq,mq,mq,3,mq,3780,7,mq,4440,mq,mq,mq,mq,mq,mq,
07020,20201101000000,101260,-110,7,210,11.300000,285.550000,279.550000,67,8000,60,6,6,100,8,1250,36,mq,mq,101150,mq,mq,-660,mq,mq,mq,mq,mq,mq,mq,17.300000,17.500000,-10,mq,mq,mq,mq,-0.100000,-0.100000,-0.100000,1.000000,7.300000,mq,mq,mq,mq,8,7,1000,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07027,20201101000000,101540,-120,6,190,3.500000,284.250000,282.550000,89,22270,61,mq,mq,100,8,3480,mq,mq,mq,100730,mq,mq,-700,mq,mq,mq,mq,283.150000,mq,mq,5.500000,6.500000,-10,2,0.000000,mq,mq,-0.100000,-0.100000,-0.100000,2.200000,mq,mq,mq,mq,mq,8,mq,3480,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07037,20201101000000,101640,-10,7,190,2.900000,283.550000,282.650000,94,17170,0,mq,mq,100,8,450,mq,mq,mq,99810,mq,mq,-710,mq,mq,mq,mq,283.450000,mq,mq,3.600000,3.800000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,2.400000,2.400000,mq,mq,mq,mq,7,mq,570,8,mq,720,mq,mq,mq,mq,mq,mq,
07072,20201101000000,101690,20,3,240,3.700000,289.150000,285.550000,79,20000,0,mq,mq,100,1,1250,mq,mq,mq,100560,mq,mq,-770,mq,mq,mq,mq,286.750000,mq,mq,6.200000,7.800000,-10,0,mq,mq,mq,0.000000,0.000000,-0.100000,-0.100000,-0.100000,mq,mq,mq,mq,1,mq,1230,3,mq,4380,7,mq,4920,mq,mq,mq,
07110,20201101000000,101180,-310,8,180,8.800000,285.150000,284.050000,93,11780,0,mq,mq,100,6,250,mq,mq,mq,100010,mq,mq,-610,mq,mq,mq,mq,282.150000,mq,mq,12.800000,12.800000,-10,1,0.000000,mq,mq,0.000000,0.400000,0.600000,0.600000,17.600000,mq,mq,mq,mq,5,mq,270,6,mq,420,6,mq,1560,mq,mq,mq,
07117,20201101000000,101190,-310,8,190,5.100000,284.750000,282.650000,87,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100490,mq,mq,-640,mq,mq,mq,mq,mq,mq,mq,9.700000,10.300000,-10,mq,mq,mq,mq,0.000000,0.200000,0.200000,0.200000,9.300000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07130,20201101000000,101650,-40,8,170,3.500000,285.350000,284.550000,95,8450,61,mq,mq,100,1,1250,mq,mq,mq,101200,mq,mq,-560,mq,mq,mq,mq,284.950000,mq,mq,4.800000,5.100000,-10,2,0.000000,mq,mq,0.400000,0.400000,0.400000,2.800000,3.600000,mq,mq,mq,mq,1,mq,1080,5,mq,2220,8,mq,3000,mq,mq,mq,
07139,20201101000000,101720,-20,8,190,3.700000,284.550000,283.750000,95,19250,0,mq,mq,100,1,800,mq,mq,mq,99980,mq,mq,-600,mq,mq,mq,mq,285.350000,mq,mq,5.400000,5.600000,-10,1,mq,mq,mq,0.000000,0.000000,0.000000,1.800000,1.800000,mq,mq,mq,mq,1,mq,870,7,mq,4440,8,mq,5160,mq,mq,mq,
07149,20201101000000,101770,70,1,240,3.800000,287.450000,284.050000,80,20000,1,2,2,90,5,800,35,23,mq,100690,mq,mq,-640,mq,mq,mq,mq,mq,mq,mq,6.500000,7.500000,-10,1,0.000000,0.000000,-60,0.000000,-0.100000,-0.100000,-0.100000,-0.100000,mq,mq,mq,mq,5,6,700,6,3,4500,mq,mq,mq,mq,mq,mq,
07168,20201101000000,101820,-20,7,210,7.000000,290.050000,285.150000,73,20000,0,mq,mq,100,5,800,mq,mq,mq,100420,mq,mq,-690,mq,mq,mq,mq,286.450000,mq,mq,10.300000,12.100000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,-0.100000,0.200000,mq,mq,mq,mq,1,mq,660,5,mq,1230,7,mq,1620,mq,mq,mq,
07181,20201101000000,101920,20,0,200,3.900000,287.050000,281.650000,70,58950,0,mq,mq,100,8,800,mq,mq,mq,97880,mq,mq,-640,mq,mq,mq,mq,281.850000,mq,mq,6.100000,8.400000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,8,mq,810,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07190,20201101000000,102010,-20,8,180,3.800000,283.950000,282.050000,88,26350,0,mq,mq,90,7,1750,mq,mq,mq,100190,mq,mq,-670,mq,mq,mq,mq,279.250000,mq,mq,6.300000,6.300000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,2,mq,1800,4,mq,2460,7,mq,4200,mq,mq,mq,
07207,20201101000000,101590,-140,8,200,8.400000,288.050000,286.950000,93,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101080,mq,mq,-530,mq,mq,mq,mq,mq,mq,mq,12.000000,12.000000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07222,20201101000000,101770,0,4,210,2.700000,287.350000,287.050000,98,1780,53,mq,mq,100,8,80,mq,mq,mq,101460,mq,mq,-490,mq,mq,mq,mq,286.150000,mq,mq,4.200000,7.000000,-10,2,0.000000,mq,mq,0.600000,0.600000,0.600000,2.200000,2.200000,mq,mq,mq,mq,8,mq,90,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07240,20201101000000,101810,-10,8,210,5.000000,288.650000,288.150000,97,6920,51,mq,mq,100,8,150,mq,mq,mq,100480,mq,mq,-540,mq,mq,mq,mq,287.350000,mq,mq,8.200000,9.200000,-10,2,0.000000,mq,mq,0.200000,0.800000,0.800000,0.800000,0.800000,mq,mq,mq,mq,8,mq,150,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07255,20201101000000,102010,10,3,230,5.400000,289.450000,285.950000,80,19240,0,mq,mq,mq,mq,mq,mq,mq,mq,100050,mq,mq,-400,mq,mq,mq,mq,285.850000,mq,mq,10.700000,10.700000,-10,mq,0.000000,mq,mq,-0.100000,-0.100000,-0.100000,-0.100000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
07280,20201101000000,102220,10,0,0,0.000000,279.850000,279.850000,100,370,44,mq,mq,100,8,1750,mq,mq,mq,99450,mq,mq,-420,mq,mq,mq,mq,283.650000,mq,mq,0.900000,1.700000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,7,mq,1680,8,mq,3180,mq,mq,mq,mq,mq,mq,
